city,run_timestamp,forecast_date,adjustment_applied,target,unit,uv_HLSTM_GRU,uv_GRU,uv_ANN,mv_HLSTM_GRU,mv_GRU,mv_ANN,ensemble_uv,ensemble_mv,ensemble_all
Chennai,2026-06-17T15:53:35.399842,2026-06-17,False,PRmsl,Pa,100549.2549,100515.1538,100527.3785,100580.2037,100561.8234,100549.6357,100530.5957,100563.8876,100547.2417
Chennai,2026-06-17T15:53:35.399842,2026-06-17,False,RH2m,%,65.449,61.8635,61.6453,61.7075,62.3369,62.3756,62.9859,62.14,62.563
Chennai,2026-06-17T15:53:35.399842,2026-06-17,False,TMP2m,C,33.5697,32.0161,31.7189,31.2524,32.105,31.9007,32.4349,31.7527,32.0938
Chennai,2026-06-17T17:00:03.820300,2026-06-17,False,PRmsl,Pa,100549.2549,100515.1538,100527.3785,100580.2037,100561.8234,100549.6357,100530.5957,100563.8876,100547.2417
Chennai,2026-06-17T17:00:03.820300,2026-06-17,False,RH2m,%,65.449,61.8635,61.6453,61.7075,62.3369,62.3756,62.9859,62.14,62.563
Chennai,2026-06-17T17:00:03.820300,2026-06-17,False,TMP2m,C,33.5697,32.0161,31.7189,31.2524,32.105,31.9007,32.4349,31.7527,32.0938
Chennai,2026-06-19T12:43:38.707471,2026-06-19,False,PRmsl,Pa,100604.2563,100576.2284,100611.589,100614.8889,100631.9771,100579.5737,100597.3579,100608.8132,100603.0856
Chennai,2026-06-19T12:43:38.707471,2026-06-19,False,RH2m,%,74.9938,71.6079,73.7063,69.3894,72.1423,71.9222,73.436,71.1513,72.2936
Chennai,2026-06-19T12:43:38.707471,2026-06-19,False,TMP2m,C,32.0834,30.4971,30.8582,30.4662,31.2388,31.2298,31.1462,30.9783,31.0623
Chennai,2026-06-19T12:45:52.286360,2026-06-19,False,PRmsl,Pa,100604.2563,100576.2284,100611.589,100614.8889,100631.9771,100579.5737,100597.3579,100608.8132,100603.0856
Chennai,2026-06-19T12:45:52.286360,2026-06-19,False,RH2m,%,74.9938,71.6079,73.7063,69.3894,72.1423,71.9222,73.436,71.1513,72.2936
Chennai,2026-06-19T12:45:52.286360,2026-06-19,False,TMP2m,C,32.0834,30.4971,30.8582,30.4662,31.2388,31.2298,31.1462,30.9783,31.0623
Chennai,2026-06-19T16:08:41.950936,2026-06-19,False,PRmsl,Pa,100604.2563,100576.2284,100611.589,100614.8889,100631.9771,100579.5737,100597.3579,100608.8132,100603.0856
Chennai,2026-06-19T16:08:41.950936,2026-06-19,False,RH2m,%,74.9938,71.6079,73.7063,69.3894,72.1423,71.9222,73.436,71.1513,72.2936
